locations_no;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;flurstueck;rechtswert;hochwert;wohneinheiten;geweinheiten;rvfarbe;rvname;dpsid;hamikrorohr;aplaufgelegt;hakabelfasern;hakabelspleiss;kntname;odfspleiss;odfkabelfasern;mfgsid;popextid;auftraggeber;assigned_user_id;popsid
LOC10453;Gerstetten;Heldenfingen;Altheimer Weg;9;-;-;578758.74;5383737.0;1;0;grün;HLDFG-HA1x10rt-ws-RVT04-01-013;HLDFG-RVT-04;rot / weiß;1-2;12 F (1x12);2;HLDFG-RVT-04;1-2;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10527;Gerstetten;Heldenfingen;Dettinger Weg;8;-;-;579033.03;5384076.0;3;0;grün;HLDFG-HA1x10bl-RVT06-02-03;HLDFG-RVT-06;blau;1-6;12 F (1x12);6;HLDFG-RVT-06;1-6;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10683;Gerstetten;Heldenfingen;Kornblumenweg;7;-;-;579071.41;5384599.0;2;0;orange;HLDFG-HA1x10ge-RVT08-02-04;HLDFG-RVT-08;gelb;1-4;12 F (1x12);4;HLDFG-RVT-08;1-4;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10746;Gerstetten;Heldenfingen;Molkereistraße;31;-;-;578791.73;5384204.0;2;0;orange;HLDFG-HA1x10gn-ws-RVT05-02-014;HLDFG-RVT-05;grün / weiß;1-4;12 F (1x12);4;HLDFG-RVT-05;1-4;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10816;Gerstetten;Heldenfingen;Rüblinger Straße;23;-;-;578819.81;5384287.0;2;0;grün;HLDFG-HA1x10ge-RVT02-02-04;HLDFG-RVT-02;gelb;1-4;12 F (1x12);4;HLDFG-RVT-02;1-4;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10826;Gerstetten;Heldenfingen;Rüblinger Straße;38;-;-;578942.96;5384325.0;2;0;rot;HLDFG-HA1x10rt-ws-RVT07-04-013;HLDFG-RVT-07;rot / weiß;1-4;12 F (1x12);4;HLDFG-RVT-07;1-4;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10865;Gerstetten;Heldenfingen;Vordere Gasse;1;-;-;578557.41;5384039.0;1;0;grün;HLDFG-HA1x10br-RVT03-04-07;HLDFG-RVT-03;braun;1-2;12 F (1x12);2;HLDFG-RVT-03;1-2;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10563;Gerstetten;Heldenfingen;Felsenstraße;11;-;-;578916.28;5384290.0;2;0;rot;HLDFG-HA1x10br-RVT07-04-07;HLDFG-RVT-07;braun;1-4;12 F (1x12);4;HLDFG-RVT-07;5-8;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10672;Gerstetten;Heldenfingen;Konradstraße;9;-;-;578711.06;5383796.0;1;0;blau;HLDFG-HA1x10br-RVT04-04-07;HLDFG-RVT-04;braun;1-2;12 F (1x12);2;HLDFG-RVT-04;5-6;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10686;Gerstetten;Heldenfingen;Kornblumenweg;10;-;-;579131.29;5384600.0;2;0;orange;HLDFG-HA1x10rt-RVT08-02-01;HLDFG-RVT-08;rot;1-4;12 F (1x12);4;HLDFG-RVT-08;5-8;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
