zugehöriges Projekt;zuständig;Auftraggeber;DP-Name;Ort;Ortsteil;Straße;PLZ
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;WALD-007;Mosbach;Waldstadt;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;WALD-001;Mosbach;Waldstadt;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;WALD-002;Mosbach;Waldstadt;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;WALD-008;Mosbach;Waldstadt;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;WALD-006;Mosbach;Waldstadt;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;WALD-005;Mosbach;Waldstadt;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;SATT-004;Mosbach;Sattelbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;SATT-001;Mosbach;Sattelbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;SATT-002;Mosbach;Sattelbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;SATT-005;Mosbach;Sattelbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;SATT-003;Mosbach;Sattelbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;REICH-001;Mosbach;Reichenbuch;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;REICH-002;Mosbach;Reichenbuch;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;REICH-003;Mosbach;Reichenbuch;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;NUSB-002;Mosbach;Nüstenbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;NUSB-001;Mosbach;Nüstenbach;n/a;n/a
622 - Mosbach (Nachverdichtung);622 - Mosbach;Infrafibre;LOHR-008;Mosbach;Lohrbach;n/a;n/a
