locations_no;auftraggeber;lie_zip;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;wohneinheiten;flurstueck
;NetCom BW;89547;Gerstetten;Heuchlingen;Nelkenstraße;5;;;
;NetCom BW;69151;Neckargemünd;Kleingemünd;Im Schulzengarten;20;;;
;NetCom BW;69151;Neckargemünd;Kleingemünd;Saarstraße;72;;;
;NetCom BW;69151;Neckargemünd;Neckargemünd;Adalbert-Seifriz-Straße;31;;;
;NetCom BW;69151;Neckargemünd;Neckargemünd;Adalbert-Seifriz-Straße;31;;;
;NetCom BW;89547;Gerstetten;Heldenfingen;Friedhofstraße;7;;;
;NetCom BW;89547;Gerstetten;Heldenfingen;Kliffstraße;5;;;
;NetCom BW;89547;Gerstetten;Heldenfingen;Rüblinger Straße;33;;;
;NetCom BW;69151;Neckargemünd;Neckargemünd;Friedrich-Ebert-Straße;37;;;
;NetCom BW;89547;Gerstetten;Heuchlingen;Obere Dorfstraße;81;;;
;NetCom BW;89547;Gerstetten;Dettingen;Christian-Fink-Straße;37;;;
;NetCom BW;89547;Gerstetten;Heldenfingen;Kliffstraße;1;;;
;NetCom BW;69151;Neckargemünd;Neckargemünd;Friedrich-Ebert-Straße;5;;;
;NetCom BW;69151;Neckargemünd;Kleingemünd;Peter-Schnellbach-Straße;46;a;;
